drug_id,drug_name,disease_id,disease_name,Model,Total_Abstracts,Analyzed,Positive,Neutral,Negative,Human_Studies,Animal_in_vivo_Studies,In_vitro_Studies,Review_Studies,Computational_Studies,Not_specified_Studies,rank,Rate_Positive,Rate_Neutral,Rate_Negative,Criterion_1,Criterion_2,has_clinical_trial,clinical_trial_count,clinical_trial_id,additional_trials,search_status,primary_completion_date,study_phase,trial_conditions,trial_status,trial_title
15840,Digoxin,99214,cardiomyopathy due to anthracyclines,CompGCN,200,200,2,188,10,,,,,,,36,0.01,0.94,0.05,Potentially Adverse Effect,Potentially Therapeutic,Yes,7,NCT04893629,"NCT00074880,NCT07238452,NCT07321509,NCT01181414,NCT06651073,NCT04308031",Success - Found and processed details,2024-11-30 (ACTUAL) || Unknown (None) || 2032-12-01 (ESTIMATED) || 2027-12-16 (ESTIMATED) || 2014-11 (ACTUAL) || 2028-04-28 (ESTIMATED) || 2020-12-31 (ESTIMATED),NA || Unknown || PHASE4 || PHASE4 || PHASE4 || Unknown || PHASE3,"Cardiomyopathy --- Cardiomyopathy, Hypertrophic --- Heart Failure With Reduced Ejection Fraction; Atrial Fibrillation (AF) --- Acute Heart Failure (AHF) --- Chronic Heart Failure; Cardiomyopathy, Dilated; Atrial Fibrillation --- Transthyretin Amyloid Cardiopathy --- Atrial Fibrillation; Ivabradine; Heart Failure",TERMINATED || COMPLETED || NOT_YET_RECRUITING || RECRUITING || COMPLETED || ACTIVE_NOT_RECRUITING || UNKNOWN,"New Horizons for the Treatment of Cardiomyopathy in Children || The Role of Heart Stiff and Weak Atrium on Exercise Capacity in Patients With Hypertrophic Cardiomyopathy || Optimising Pacing Therapy, Integrated Medical Therapy, and Catheter AbLation for Atrial Fibrillation in Heart Failure Trial || Digoxin After Acute Heart Failure || Spanish Atrial Fibrillation And Resynchronization Study || ATTR-CM: A Multi-country, Non-interventional Disease Registry || Efficacy of Ivabradine in Patient With Both Persistent Atrial Fibrillation and Heart Failure With Reduce Ejection Fraction"
14272,Formoterol,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,36,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
15018,Midostaurin,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,37,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14168,Spironolactone,99214,cardiomyopathy due to anthracyclines,CompGCN,164,164,6,157,1,,,,,,,37,0.036585366,0.957317073,0.006097561,Potentially Therapeutic,Potentially Therapeutic,Yes,11,NCT00125437,"NCT02941315,NCT03593317,NCT06091475,NCT04190433,NCT00226109,NCT01557140,NCT01128101,NCT02948998,NCT02053974,NCT00879060",Success - Found and processed details,Unknown (None) || 2021-10-01 (ACTUAL) || 2027-12 (ESTIMATED) || 2026-08-15 (ESTIMATED) || 2023-04-18 (ACTUAL) || 2011-08 (ESTIMATED) || 2004-03 (ACTUAL) || 2012-12 (ESTIMATED) || 2019-10 (ESTIMATED) || 2012-10 (ACTUAL) || 2011-11 (ACTUAL),NA || PHASE1 || PHASE2 || NA || PHASE2 || PHASE4 || PHASE4 || PHASE4 || PHASE4 || PHASE4 || PHASE4,"Heart Failure, Congestive --- Cardiomyopathy With Unknown Etiology --- Arrhythmogenic Right Ventricular Dysplasia --- Heart Failure; Cardiomyopathy, Dilated; Cardiomyopathies; Heart Diseases --- Breast Carcinoma; Hematopoietic and Lymphoid Cell Neoplasm; Lymphoma; Sarcoma --- Cardiomyopathy, Alcoholic; Alcoholism --- Chagas Cardiomyopathy; Heart Failure; Dilated Cardiomyopathy --- Renal Failure --- Hypertrophic Cardiomyopathy; Fibrosis --- Anthracycline Induced Cardiotoxicity --- Myocardial Fibrosis; Hypertrophic Cardiomyopathy",TERMINATED || COMPLETED || RECRUITING || RECRUITING || WITHDRAWN || SUSPENDED || COMPLETED || UNKNOWN || UNKNOWN || COMPLETED || COMPLETED,"Larger Dose of Spironolactone for the Treatment of Patients With Nonischemic Cardiomyopathy || Risk Stratification of Heart Failure in Cardiomyopathies. || Blockade of the Renin-angiotensin-aldosterone System in Patients With ARVD || Therapy to Maintain Remission in Dilated Cardiomyopathy || Autophagy Activation for the Alleviation of Cardiomyopathy Symptoms After Anthracycline Treatment, ATACAR Trial || Clinical Trial Studying the Effects of Spironolactone on Heart and Skeletal Muscle Function in Chronic Alcoholics || A Randomized Trial of Carvedilol in Chronic Chagas Cardiomyopathy || Effects of Spironolactone in Dialysis || Evaluating the Effect of Spironolactone on Hypertrophic Cardiomyopathy || Spironolactone Against Anthracycline-induced Cardiomyopathy || Clinical and Therapeutic Implications of Fibrosis in Hypertrophic Cardiomyopathy"
14281,Ketoconazole,99214,cardiomyopathy due to anthracyclines,CompGCN,6,6,0,6,0,,,,,,,39,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
14780,Cytarabine,99214,cardiomyopathy due to anthracyclines,CompGCN,27,27,0,22,5,,,,,,,40,0,0.814814815,0.185185185,Potentially Adverse Effect,No Positive Sign,No,0,,,No trials found,,,,,
15254,Levosalbutamol,99214,cardiomyopathy due to anthracyclines,TxGNN,15,15,0,12,3,,,,,,,41,0,0.8,0.2,Potentially Adverse Effect,No Positive Sign,Yes,1,NCT01447069,,Success - Found and processed details,2012-03 (ESTIMATED),NA,Ischemic Cardiomyopathy; Non-ischemic Cardiomyopathy; Heart Failure,UNKNOWN,Use of Beta-agonists in Stable Severe Congestive Heart Failure
14229,Tretinoin,99214,cardiomyopathy due to anthracyclines,CompGCN,58,58,2,52,4,,,,,,,41,0.034482759,0.896551724,0.068965517,Potentially Adverse Effect,Potentially Therapeutic,No,0,,,No trials found,,,,,
14207,Imatinib,99214,cardiomyopathy due to anthracyclines,CompGCN,25,25,0,18,7,,,,,,,42,0,0.72,0.28,Potentially Adverse Effect,No Positive Sign,Yes,1,NCT02281760,,Success - Found and processed details,2018-08-29 (ACTUAL),PHASE2,BRAF V600E Mutation,COMPLETED,Dabrafenib and Trametinib in People With BRAF V600E Mutation Positive Lesions in Erdheim Chester Disease
14263,Salmeterol,99214,cardiomyopathy due to anthracyclines,TxGNN,1,1,0,1,0,,,,,,,43,0,1,0,Neutral Relation,No Positive Sign,No,0,,,No trials found,,,,,
